id,year,african_american,asian,hispanic,white,native,male,female
6800005,2017,2,1.2,6.9,86.6,0,50.2,49.8
6800030,2017,3.2,3.2,5.6,84.4,0.3,49.6,50.4
6800050,2017,3.6,2.6,7.6,81.8,0,50.2,49.8
6800305,2017,3.6,1.4,5,86.9,0.9,50,50
6800310,2017,2.1,3.7,5.8,85.6,0.4,48.9,51.1
6830505,2017,0.7,0.5,2.8,93.5,0.1,44.9,55.1
1210005,2017,0,0,0,100,0,50,50
1220004,2017,1.4,1.4,1.9,95.3,0,50.2,49.8
1220305,2017,0.6,2.3,1.6,95.4,0,53.1,46.9
1220015,2017,0,0.9,3.5,94.3,0,48.7,51.3
1250505,2017,1.9,12.1,3.2,81,0,50.7,49.3
1250005,2017,2.5,9.7,3.9,81.8,0,52,48
1270005,2017,0.4,0.4,5.7,92.6,0,52.9,47.1
1270505,2017,1.5,2.5,3.5,88.9,0,52,48
1280008,2017,3.9,1.8,16.2,77.1,0.2,51.3,48.7
1280035,2017,4.1,1.7,17.8,75.2,0,50.2,49.8
1280100,2017,2.8,1.7,45.5,48.9,0,50.9,49.1
1280050,2017,3.8,2.2,38,55.3,0,49.9,50.1
1280026,2017,3.1,2.1,38,53.6,0.2,50.3,49.7
1280033,2017,6.5,0,41.3,52.2,0,76.1,23.9
1280085,2017,3.3,1.4,26.7,67.8,0.2,51.7,48.3
1280054,2017,3.9,2.5,34.1,57.1,0.6,56.5,43.5
1280073,2017,2,2,39.2,54.9,0,76.5,23.5
1280075,2017,2.8,1.1,48.9,45,0.6,52.4,47.6
6850005,2017,0,1,7.6,85.7,1.9,44.8,55.2
4190305,2017,79.7,0.5,17.5,0,0.5,58.1,41.9
4550050,2017,5.2,0.7,18.3,72.5,0.3,42.5,57.5
4500105,2017,0.5,1.4,7.3,81.7,0,53.2,46.8
1310005,2017,0.7,2.2,2,92.8,0,57.5,42.5
1310410,2017,1,3,2.4,91,0,50.8,49.2
1310019,2017,1.5,1.9,3.4,90.2,0,47.4,52.6
1310020,2017,2.1,2.7,1.8,89.5,0,49.8,50.2
1310010,2017,1.3,1.9,3.6,90.2,0,54,46
1330505,2017,23.2,4.9,11,54.8,0,50.5,49.5
1330018,2017,13.8,3,12.4,61.4,0,53.6,46.4
1330025,2017,17.6,4.3,12.6,56.5,0,47.8,52.2
1350005,2017,2.1,2.1,3.4,91.6,0.4,52.7,47.3
1360007,2017,0.7,5.9,5.9,84.9,0.3,51.3,48.7
1360305,2017,0.5,7.7,3.9,84.9,0.8,49,51
1370045,2017,3,0,80,15.2,0,52.5,47.5
1370070,2017,1,0.3,89.3,8.3,0,54.7,45.3
1370040,2017,0.9,0.7,94.5,3.3,0,51.7,48.3
1370055,2017,3.2,1.8,78,15.2,0,50.1,49.9
1370015,2017,1.7,1.9,60.6,33.6,0.2,56.8,43.2
1370060,2017,3.9,1.3,79.1,14.6,0,57.3,42.7
1370025,2017,3.9,1.5,91.3,2.7,0,51.3,48.7
1370030,2017,1.9,0,91,6.3,0,54.4,45.6
4530005,2017,1.9,0.4,89.7,5.7,0,43.3,56.7
1380505,2017,1.1,1.9,2.9,92.4,1,48.3,51.7
1380010,2017,0.7,1.6,5.1,88.2,0.2,55.9,44.1
1390010,2017,0.6,13.1,3.3,77.7,0.4,53.9,46.1
1390015,2017,0.8,13.7,2.4,79.5,0.2,50.9,49.1
1390305,2017,0.9,11.5,1.4,84,0.2,47.7,52.3
1410030,2017,1,2.9,12.5,81.5,0,47,53
1410410,2017,1.3,1.4,7.8,86.4,0,47.6,52.4
1410015,2017,1.2,2.5,9.2,81.8,0,53.2,46.8
1410505,2017,1.7,2.1,5.8,88.5,0.3,48.9,51.1
1410007,2017,1.2,2,8.4,82.4,0,50,50
1420015,2017,2.9,0.7,1,94.5,0,54.9,45.1
1420305,2017,1,0.5,0.5,96.6,0,53.9,46.1
4350305,2017,3.5,7.4,6.6,77.8,0,48.4,51.6
1440305,2017,0.7,1.3,3.9,89.3,0,48.5,51.5
1440007,2017,1,2.3,5.3,89.6,0,50.3,49.7
1440015,2017,3.4,0.8,6.8,83,0.3,51.7,48.3
6900510,2017,1.9,1.8,2.7,91.9,0,52.4,47.4
1450020,2017,1.2,0.7,3.6,93.3,0.3,51.9,48.1
4630205,2017,68.1,0.4,29.7,0.4,0,54.5,45.5
4290010,2017,22.9,2.3,65.6,6.2,0.2,49.1,50.9
1480005,2017,2.4,0,1.5,96.1,0,45.6,54.4
1490015,2017,1.4,1.9,92.2,4.5,0,50,50
1490017,2017,0.7,0,97.4,1.8,0,49.6,50.4
1490009,2017,0.5,0,97.3,2,0,48.7,51.3
1490053,2017,0.8,0.5,90.5,7.4,0.2,50.9,49.1
1490080,2017,0.7,3.1,90.8,4.7,0,50.2,49.8
1490040,2017,1.4,0,95.9,2.5,0,52.3,47.7
1490525,2017,1.9,4.2,82.1,10.9,0,52.9,47.1
1490022,2017,1.5,1,93.7,3.1,0.2,50.8,49.2
1490025,2017,2.2,1.4,94,1.8,0,48.6,51.4
1490075,2017,0.3,0,97,1.7,0,52.6,47.4
1490048,2017,1.2,0.4,92.8,5,0,51.6,48.4
1490027,2017,0.9,0.2,91.7,6.5,0,52.2,47.8
1490018,2017,2.2,3,83.1,10,0,52.1,47.9
1490537,2017,2.3,0.6,84.7,11.9,0,79,21
1490004,2017,1.7,2.4,91,4.4,0,53.4,46.6
1490085,2017,1.3,2.4,92.1,3.7,0,46.7,53.3
1490090,2017,0.9,0,96,3.1,0,52.5,47.5
1490049,2017,1.2,0.3,96.8,1.7,0,53,47
4540205,2017,0.8,0,98,1.1,0,46.7,53.3
1500025,2017,0.6,2.4,10.7,82.1,0,47.9,52.1
1500505,2017,0,2,8.9,87.1,0,49.9,50.1
1510005,2017,5.3,2.8,8.1,80.8,0,55.7,44.3
1510015,2017,4,2,10.2,81.1,0,50.5,49.5
1520505,2017,0.7,5.3,6.4,85.3,0.2,45.5,54.5
1520015,2017,0.6,5.2,6.5,85.5,0,54.8,45.2
1530007,2017,5.5,1.2,37.3,51.8,0.3,50.7,49.3
1530010,2017,7.4,4.9,40.4,42.5,0,51.5,48.5
1530025,2017,11.3,4.4,27.3,52.7,0.6,52.1,47.9
1530030,2017,5.3,1.6,36.4,52,0,51.4,48.6
1530045,2017,7.5,1.9,29,59.3,0,53.1,46.9
1530320,2017,7.9,5,30,53.4,0.2,52,48
1540005,2017,1.5,3.7,5.9,81.6,0,58.1,41.9
1550008,2017,4.6,32.1,2.5,52,0,51.3,48.7
1550006,2017,5.3,40.9,3,48,0.2,51.7,48.3
1550015,2017,2.7,29.4,2.3,57.8,0,53.7,46.3
1550030,2017,3.9,43.9,3.2,42.8,0.2,50.1,49.9
1550305,2017,5.5,38.9,3.6,47.9,0.1,51.4,48.6
1550010,2017,6.4,41.5,3.4,40.6,0,47.1,52.9
1550035,2017,3.1,40.2,4,44.2,0,52.3,47.7
1550310,2017,3.2,34.9,2.5,53.1,0.1,49.1,50.9
1570305,2017,12.4,2.4,19.7,54.6,0,51,48.6
1570006,2017,7.5,4,18.6,65.2,0,50.6,49.4
1570025,2017,12.6,6,9.1,63.4,0.2,48.5,51.5
1580305,2017,0.6,7.1,1.7,87.2,0.6,46.7,53.3
