school_id,year,first_lang_not_eng_num,first_lang_not_eng_per,ELL_num,ELL_per,disabilities_num,disabilities_per,low_inc_num,low_inc_per
1670505,2017,58,4.4,9,0.7,151,11.5,120,9.1
1670003,2017,1,1.2,0,0,37,43,14,16.3
1680015,2017,10,6.8,9,6.1,11,7.5,17,11.6
1680020,2017,23,6.7,19,5.6,65,19.1,25,7.3
1680010,2017,11,6.6,10,6,26,15.6,20,12
1680005,2017,19,7.1,19,7.1,37,13.9,29,10.9
1680505,2017,50,4.8,15,1.4,215,20.5,92,8.8
1680300,2017,24,4.8,13,2.6,102,20.3,44,8.7
1680016,2017,55,8.2,37,5.5,137,20.5,66,9.9
4640305,2017,11,4.8,11,4.8,49,21.3,7,3
1690005,2017,8,1.7,3,0.7,87,19,100,21.8
1700045,2017,534,41.6,142,11.1,257,20,449,34.9
1700030,2017,398,47.6,250,29.9,107,12.8,300,35.9
1700006,2017,79,48.2,52,31.7,54,32.9,36,22
1700008,2017,265,42.7,177,28.5,103,16.6,202,32.5
1700505,2017,404,37,129,11.8,168,15.4,305,28
1700025,2017,257,48.7,177,33.5,57,10.8,197,37.3
1710015,2017,10,2.6,5,1.3,67,17.7,61,16.1
1710005,2017,0,0,0,0,37,14.6,23,9.1
1710310,2017,16,1.6,5,0.5,152,15,128,12.6
1710020,2017,2,0.5,1,0.2,61,14.4,56,13.2
1710505,2017,23,1.7,8,0.6,192,14,140,10.2
1710025,2017,30,6.8,20,4.5,79,17.9,60,13.6
1710010,2017,2,0.6,1,0.3,58,16.1,27,7.5
7000505,2017,80,12.1,41,6.2,126,19.1,131,19.8
4660550,2017,8,4.6,7,4,45,26,51,29.5
4920005,2017,65,17.8,58,15.8,67,18.3,270,73.8
7050505,2017,23,1.9,2,0.2,163,13.7,69,5.8
7050405,2017,3,0.5,3,0.5,117,18,41,6.3
1720005,2017,18,5.7,18,5.7,63,20.1,107,34.1
1720505,2017,12,2.9,2,0.5,72,17.3,98,23.6
1720020,2017,12,4.3,4,1.4,51,18.4,69,24.9
1720035,2017,38,7.7,24,4.9,85,17.2,148,30
39010900,2017,7,1,7,1,121,18.1,319,47.8
4690505,2017,687,60,392,34.2,221,19.3,646,56.4
1730005,2017,5,2.1,2,0.9,29,12.3,52,22.1
1730010,2017,4,1.9,1,0.5,26,12.3,28,13.2
1740305,2017,38,8.7,19,4.4,84,19.3,76,17.5
1740010,2017,43,8.6,28,5.6,59,11.8,84,16.7
1740505,2017,42,8.4,15,3,89,17.7,86,17.1
1750005,2017,9,2.4,2,0.5,44,11.9,10,2.7
1750505,2017,10,1.2,4,0.5,88,10.5,32,3.8
1750003,2017,24,5.7,9,2.1,38,9.1,22,5.3
1750007,2017,14,4,11,3.2,39,11.2,17,4.9
1750305,2017,10,1.6,3,0.5,64,10.2,27,4.3
1760130,2017,46,9.3,18,3.6,69,13.9,55,11.1
1760140,2017,120,28.2,75,17.6,68,16,170,39.9
1760510,2017,3,13.6,0,0,22,100,7,31.8
1760068,2017,173,31.8,87,16,81,14.9,213,39.2
1760320,2017,131,27.5,57,12,93,19.5,178,37.4
1760315,2017,31,6.1,0,0,98,19.4,99,19.6
1760505,2017,229,19.5,89,7.6,183,15.6,291,24.8
1760605,2017,18,7,0,0,93,36.2,93,36.2
1760150,2017,162,27.7,108,18.5,78,13.3,180,30.8
1770015,2017,4,0.8,4,0.8,66,13.2,47,9.4
1770013,2017,9,2.6,9,2.6,41,12,30,8.7
1770505,2017,2,0.3,0,0,89,11.7,48,6.3
1770305,2017,7,1,6,0.8,109,15.4,66,9.3
1780003,2017,24,8.3,0,0,36,12.4,22,7.6
1780017,2017,9,3.6,2,0.8,37,14.7,17,6.8
1780025,2017,6,2.3,1,0.4,30,11.3,9,3.4
1780020,2017,117,27.2,80,18.6,66,15.3,105,24.4
1780505,2017,85,8.6,12,1.2,147,14.9,117,11.8
1780305,2017,83,10.8,19,2.5,128,16.6,74,9.6
1780035,2017,53,12.4,32,7.5,53,12.4,62,14.5
1780050,2017,14,3.8,3,0.8,43,11.5,25,6.7
7100179,2017,14,3.3,8,1.9,47,11,35,8.2
7100001,2017,18,4.1,12,2.7,61,14,42,9.6
7100015,2017,17,2.2,4,0.5,124,15.9,65,8.3
7100510,2017,17,2.9,1,0.2,74,12.5,61,10.3
1810050,2017,295,26.5,167,15,171,15.3,293,26.3
1810060,2017,391,29,126,9.3,226,16.8,545,40.4
1810030,2017,218,17.6,71,5.7,243,19.6,304,24.5
1810505,2017,466,24.6,85,4.5,204,10.8,571,30.2
1810055,2017,365,28.1,118,9.1,225,17.3,477,36.7
1820008,2017,15,2.6,9,1.6,97,16.8,207,35.8
1820305,2017,5,0.6,1,0.1,148,19.1,212,27.4
1820010,2017,7,1.2,6,1,100,17.1,154,26.3
1820011,2017,4,3.1,3,2.3,34,26.2,43,33.1
1820505,2017,7,1,2,0.3,122,17.6,146,21
1840003,2017,7,3.2,4,1.8,26,11.8,21,9.5
1840005,2017,25,5.2,4,0.8,103,21.5,34,7.1
1850065,2017,163,32.7,140,28.1,59,11.8,187,37.5
1850010,2017,153,32.8,135,29,43,9.2,178,38.2
1850505,2017,250,22,78,6.9,150,13.2,300,26.4
1850075,2017,27,19.9,21,15.4,32,23.5,38,27.9
1850305,2017,241,24.9,44,4.5,162,16.7,272,28.1
1850090,2017,306,31.1,143,14.5,146,14.9,350,35.6
1860017,2017,42,7.5,27,4.8,88,15.6,155,27.5
1860505,2017,32,4.4,6,0.8,126,17.3,165,22.7
1860025,2017,35,8,9,2.1,86,19.7,102,23.3
1870005,2017,6,1.2,5,1,60,11.9,47,9.3
1870505,2017,2,0.5,2,0.5,43,11,38,9.7
1870020,2017,6,1.4,2,0.5,57,13.3,52,12.1
1890410,2017,51,5.6,6,0.7,146,16,78,8.5
1890005,2017,51,7.2,15,2.1,121,17.2,37,5.2
1890007,2017,41,8.1,19,3.8,78,15.4,36,7.1
1890010,2017,29,4.9,5,0.8,86,14.6,23,3.9
1890505,2017,83,8.3,15,1.5,119,11.9,112,11.2
1890020,2017,51,11.7,23,5.3,39,9,94,21.6
8300605,2017,29,5,5,0.9,281,48.3,152,26.1
7170005,2017,0,0,0,0,52,20.1,91,35.1
7170010,2017,0,0,0,0,18,16.1,37,33
7170015,2017,0,0,0,0,8,27.6,10,34.5
7170505,2017,1,0.2,1,0.2,92,21.8,146,34.6
7170020,2017,0,0,0,0,20,14,36,25.2
7120001,2017,23,8.4,13,4.8,57,20.9,94,34.4
7120002,2017,44,7.8,33,5.8,74,13.1,141,24.9
7120515,2017,42,7,13,2.2,89,14.9,123,20.5
7120315,2017,38,8.9,13,3.1,83,19.5,104,24.4
1910310,2017,10,3.2,2,0.6,49,15.7,70,22.4
1910505,2017,4,1.4,0,0,25,8.7,49,17.1
1910025,2017,11,2.9,6,1.6,55,14.5,118,31.1
8320605,2017,55,3.8,6,0.4,209,14.6,329,23
7150505,2017,4,0.7,1,0.2,83,14.8,99,17.6
4700105,2017,499,33.6,24,1.6,196,13.2,255,17.2
1960010,2017,2,1.4,0,0,12,8.5,28,19.7
1970010,2017,80,24.4,37,11.3,41,12.5,57,17.4
