SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Lanesborough - Lanesborough Elementary, 01480005,2.4,0,1.5,96.1,0,0,0,45.6,54.4
Lawrence - Alexander B Bruce, 01490015,1.4,1.9,92.2,4.5,0,0,0,50,50
Lawrence - Arlington Middle School, 01490017,0.7,0,97.4,1.8,0,0,0.2,49.6,50.4
Lawrence - Community Day Arlington, 01490009,0.5,0,97.3,2,0,0,0.2,48.7,51.3
Lawrence - Edward F. Parthum, 01490053,0.8,0.5,90.5,7.4,0.2,0,0.8,50.9,49.1
Lawrence - Emily G Wetherbee, 01490080,0.7,3.1,90.8,4.7,0,0,0.8,50.2,49.8
Lawrence - Francis M Leahy, 01490040,1.4,0,95.9,2.5,0,0,0.2,52.3,47.7
Lawrence - Frost Middle School, 01490525,1.9,4.2,82.1,10.9,0,0,0.8,52.9,47.1
Lawrence - Gerard A. Guilmette, 01490022,1.5,1,93.7,3.1,0.2,0,0.6,50.8,49.2
Lawrence - Guilmette Middle School, 01490025,2.2,1.4,94,1.8,0,0,0.6,48.6,51.4
Lawrence - High School Learning Center, 01490536,1.1,0.6,95.5,2.8,0,0,0,64.8,35.2
Lawrence - James F Hennessey, 01490020,1.3,1.6,91.4,5.2,0,0,0.5,53.9,46.1
Lawrence - John Breen School, 01490003,0.9,4.6,86.2,7.3,0,0,0.9,56,44
Lawrence - John K Tarbox, 01490075,0.3,0,97,1.7,0,0.3,0.8,52.6,47.4
Lawrence - Lawlor Early Childhood Center, 01490002,0.7,0.7,96.4,1.4,0,0,0.7,51.8,48.2
Lawrence - Lawrence Family Public Academy, 01490011,1.7,0.6,91.9,5.2,0,0,0.6,58.1,41.9
Lawrence - Lawrence High School, 01490515,1.6,1.4,93.1,3.6,0.1,0,0.2,52.3,47.7
Lawrence - Oliver Partnership School, 01490048,1.2,0.4,92.8,5,0,0,0.6,51.6,48.4
Lawrence - Parthum Middle School, 01490027,0.9,0.2,91.7,6.5,0,0,0.8,52.2,47.8
Lawrence - Phoenix Academy Lawrence, 01490540,2.6,0.7,90.7,6,0,0,0,58.3,41.7
Lawrence - Robert Frost, 01490018,2.2,3,83.1,10,0,0,1.7,52.1,47.9
Lawrence - Rollins Early Childhood Center, 01490001,4.7,1.2,87.2,7,0,0,0,62.8,37.2
Lawrence - School for Exceptional Studies, 01490537,2.3,0.6,84.7,11.9,0,0,0.6,79,21
Lawrence - South Lawrence East Elementary School, 01490004,1.7,2.4,91,4.4,0,0,0.6,53.4,46.6
Lawrence - Spark Academy, 01490085,1.3,2.4,92.1,3.7,0,0,0.4,46.7,53.3
Lawrence - UP Academy Leonard Middle School, 01490090,0.9,0,96,3.1,0,0,0,52.5,47.5
Lawrence - UP Academy Oliver Middle School, 01490049,1.2,0.3,96.8,1.7,0,0,0,53,47
Lawrence Family Development Charter (District) - Lawrence Family Development Charter School, 04540205,0.8,0,98,1.1,0,0,0,46.7,53.3
Lee - Lee Elementary, 01500025,0.6,2.4,10.7,82.1,0,0,4.2,47.9,52.1
Lee - Lee Middle/High School, 01500505,0,2,8.9,87.1,0,0,2,49.9,50.1
Leicester - Leicester High, 01510505,4.6,3.1,4.8,84.8,0.7,0.4,1.5,50.5,49.5
Leicester - Leicester Memorial Elementary, 01510005,5.3,2.8,8.1,80.8,0,0,3.1,55.7,44.3
Leicester - Leicester Middle, 01510015,4,2,10.2,81.1,0,0,2.7,50.5,49.5
Leicester - Leicester Primary School, 01510010,6.1,3.1,7.8,81.3,0.6,0,1.1,58.1,41.9
Lenox - Lenox Memorial High, 01520505,0.7,5.3,6.4,85.3,0.2,0,2.2,45.5,54.5
Lenox - Morris, 01520015,0.6,5.2,6.5,85.5,0,0,2.3,54.8,45.2
Leominster - Bennett, 01530003,4.8,1.9,33.3,58.1,0,0,1.9,58.1,41.9
Leominster - Center For Technical Education Innovation, 01530605,7.8,3.6,31.5,53.6,0,0.4,3.2,62.8,37.2
Leominster - Fall Brook, 01530007,5.5,1.2,37.3,51.8,0.3,0,3.9,50.7,49.3
Leominster - Frances Drake School, 01530010,7.4,4.9,40.4,42.5,0,0,4.8,51.5,48.5
Leominster - Johnny Appleseed, 01530025,11.3,4.4,27.3,52.7,0.6,0,3.7,52.1,47.9
Leominster - Leominster Center for Excellence, 01530515,7.7,0,30.8,51.3,0,0,10.3,43.6,56.4
Leominster - Leominster High School, 01530505,9.1,3.3,26,59.4,0.4,0,1.8,46.9,53.1
Leominster - Lincoln School, 01530005,12.2,0,28.6,55.1,0,0,4.1,71.4,28.6
Leominster - Northwest, 01530030,5.3,1.6,36.4,52,0,0,4.6,51.4,48.6
Leominster - Priest Street, 01530040,3.1,4.6,39.2,46.9,0,0,6.2,50.8,49.2
Leominster - Samoset School, 01530045,7.5,1.9,29,59.3,0,0,2.3,53.1,46.9
Leominster - Sky View Middle School, 01530320,7.9,5,30,53.4,0.2,0,3.5,52,48
Leverett - Leverett Elementary, 01540005,1.5,3.7,5.9,81.6,0,0,7.4,58.1,41.9
Lexington - Bowman, 01550008,4.6,32.1,2.5,52,0,0,8.8,51.3,48.7
Lexington - Bridge, 01550006,5.3,40.9,3,48,0.2,0.2,2.5,51.7,48.3
Lexington - Fiske, 01550015,2.7,29.4,2.3,57.8,0,0,7.7,53.7,46.3
Lexington - Harrington, 01550030,3.9,43.9,3.2,42.8,0.2,0,6,50.1,49.9
Lexington - Jonas Clarke Middle, 01550305,5.5,38.9,3.6,47.9,0.1,0,3.9,51.4,48.6
Lexington - Joseph Estabrook, 01550010,6.4,41.5,3.4,40.6,0,0,8.2,47.1,52.9
Lexington - Lexington Children's Place, 01550001,1.3,41,7.7,41,0,0,9,66.7,33.3
Lexington - Lexington High, 01550505,3.5,36.2,3.6,52.4,0,0,4.2,50.2,49.8
Lexington - Maria Hastings, 01550035,3.1,40.2,4,44.2,0,0,8.6,52.3,47.7
Lexington - Wm Diamond Middle, 01550310,3.2,34.9,2.5,53.1,0.1,0,6.3,49.1,50.9
Lincoln - Hanscom Middle, 01570305,12.4,2.4,19.7,54.6,0,0.4,10.4,51,48.6
Lincoln - Hanscom Primary, 01570006,7.5,4,18.6,65.2,0,0.3,4.3,50.6,49.4
Lincoln - Lincoln School, 01570025,12.6,6,9.1,63.4,0.2,0,8.7,48.5,51.5
Lincoln-Sudbury - Lincoln-Sudbury Regional High, 06950505,4.3,6.1,4.2,80.6,0.1,0.1,4.7,49.7,50.3
Littleton - Littleton High School, 01580505,0.4,4.9,1.5,89.7,0,0.6,2.8,49,51
Littleton - Littleton Middle School, 01580305,0.6,7.1,1.7,87.2,0.6,0,2.8,46.7,53.3
Littleton - Russell St Elementary, 01580015,2.1,8.8,2.8,83.2,0,0.3,2.8,48.1,51.9
Littleton - Shaker Lane Elementary, 01580005,1.4,7.5,2,87.3,0.2,0.2,1.4,53.3,46.7
Longmeadow - Blueberry Hill, 01590005,1.2,18.5,3.3,72.1,0,0.7,4.2,50.5,49.5
Longmeadow - Center, 01590010,1.7,5.2,5.2,83.7,0,0,4.2,51.7,48.3
Longmeadow - Glenbrook Middle, 01590017,4.2,9.9,5.1,77.2,0.3,0,3.3,52.7,47.3
Longmeadow - Longmeadow High, 01590505,2.4,8.7,3.8,82.9,0,0.1,2.1,49.8,50.2
Longmeadow - Williams Middle, 01590305,0.6,5.8,4.1,86.3,0.3,0,2.9,55.2,44.8
Longmeadow - Wolf Swamp Road, 01590025,2.8,11.4,7.5,72.3,0,0,6,52.6,47.4
Lowell - Abraham Lincoln, 01600020,4.8,48.2,29.9,12.2,0.2,0,4.8,54.8,45.2
Lowell - B.F. Butler Middle School, 01600310,7.7,26.2,28.4,33.2,0,0,4.4,48.6,51.4
Lowell - Bartlett Community Partnership, 01600090,9.4,36.8,33.8,15.5,0.2,0,4.3,50.9,49.1
Lowell - Charles W Morey, 01600030,3.6,59.7,12.3,19.7,0.4,0,4.4,53,47
Lowell - Charlotte M Murkland Elementary, 01600080,4.2,48,32.3,9.7,0.2,0,5.6,54,46
Lowell - Dr An Wang School, 01600345,7.5,16.4,42,31.1,0,0,3,51.4,48.6
Lowell - Dr Gertrude Bailey, 01600002,4.4,34.3,21.6,34.5,0.2,0,5.1,57.4,42.6
Lowell - Greenhalge, 01600015,10.2,14.2,40.1,31.3,0,0.2,4,51.3,48.7
Lowell - Henry J Robinson Middle, 01600330,11.7,19.4,41.3,24.4,0,0,3.2,52.9,47.1
Lowell - James S Daley Middle School, 01600315,3.9,43.2,18.2,29.5,0,0,5.2,51.4,48.6
Lowell - James Sullivan Middle School, 01600340,9.1,12.7,38.7,36.7,0,0,2.8,51.3,48.7
Lowell - John J Shaughnessy, 01600050,4.3,29.5,36,25.8,0.2,0,4.1,51.4,48.6
Lowell - Joseph McAvinnue, 01600010,5.6,14.1,54.4,22.2,0,0,3.6,52.8,47.2
Lowell - Kathryn P. Stoklosa Middle School, 01600360,4.3,53.8,29.1,10,0,0,2.8,52.5,47.5
Lowell - Laura Lee Therapeutic Day School, 01600085,16.7,0,38.9,33.3,0,0,11.1,100,0
Lowell - Leblanc Therapeutic Day School, 01600320,12.1,6.1,60.6,18.2,0,0,3,72.7,27.3
Lowell - Lowell High, 01600505,11.3,32,23.8,30.8,0.1,0,1.9,50,50
Lowell - Moody Elementary, 01600027,3.6,16.5,38.2,34.9,0,0,6.8,49,51
Lowell - Pawtucketville Memorial, 01600036,6.5,21.6,26.9,40.6,0,0,4.4,55,45
Lowell - Peter W Reilly, 01600040,4.4,7.8,37.7,46.4,0,0,3.6,48.5,51.5
Lowell - Pyne Arts, 01600018,6,13.1,32.3,44.8,0,0,3.8,53.6,46.4
Lowell - Rogers STEM Academy, 01600005,9.4,23.9,37.9,24.7,0,0,4.1,53,47
Lowell - S Christa McAuliffe Elementary, 01600075,5.3,11.6,44.3,35.6,0,0,3.3,48.4,51.6
Lowell - The Career Academy, 01600515,9.2,14.3,48.7,24.4,0,0,3.4,65.5,34.5
Lowell - Washington, 01600055,5,47.7,21.7,18.6,0,0,7,55.8,44.2
Lowell Community Charter Public (District) - Lowell Community Charter Public School, 04560050,27.5,20.1,45.9,3.2,0,0,3.3,48.8,51.2
Lowell Middlesex Academy Charter (District) - Lowell Middlesex Academy Charter School, 04580505,1.1,14.9,34,43.6,0,0,6.4,43.6,55.3
Ludlow - Chapin Street Elementary School, 01610020,0.9,0.3,12.1,83.2,0.9,0,2.6,46,54
Ludlow - East Street Elementary School, 01610010,1.4,0.3,11.4,84.1,0.5,0,2.4,52.4,47.6
Ludlow - Ludlow Senior High, 01610505,2,0.6,7.8,87.5,0.2,0,1.9,49.5,50.5
Ludlow - Paul R Baird Middle, 01610305,1.9,0.6,6.4,88.5,0.3,0,2.3,48.5,51.5
Ludlow - Veterans Park Elementary, 01610023,3,0,7.9,85.5,0.5,0,3,56.3,43.7
Lunenburg - Lunenburg High, 01620505,3.2,4.3,2.7,87.7,0.5,0.2,1.4,48.3,51.7
Lunenburg - Lunenburg Middle School, 01620305,1.5,1,7.7,87.4,0.8,0.8,0.8,56.4,43.6
Lunenburg - Lunenburg Primary School, 01620010,1,2.1,7.3,85.8,0,0.3,3.6,53.1,46.9
Lunenburg - Turkey Hill Elementary School, 01620025,1,1.3,7.3,86.5,0.8,0.8,2.5,50.8,49.3
Lynn - A Drewicz Elementary, 01630016,8.1,16.5,65.1,5.8,0.4,0,4.1,49.4,50.6
Lynn - Aborn, 01630011,15.8,5.4,33.6,36.3,0.8,0,8.1,47.9,52.1
Lynn - Breed Middle School, 01630405,9.9,11,60.1,15,0.5,0,3.4,52.3,47.7
Lynn - Brickett Elementary, 01630020,10.6,12.1,55,16.3,0.4,0,5.7,51.1,48.9
Lynn - Capt William G Shoemaker, 01630090,14.1,6.4,24.4,45.5,0,0,9.6,61.5,38.5
Lynn - Classical High, 01630505,11.9,11.7,50.9,22.8,0.2,0.1,2.4,52.9,47.1
Lynn - Cobbet Elementary, 01630035,10,6.9,76.9,4.2,0,0,2.1,50.7,49.3
Lynn - E J Harrington, 01630045,9.3,6.9,72.6,9,0,0,2.2,52.6,47.4
Lynn - Early Childhood Center, 01630004,10.7,9.7,61.7,13.4,0.7,0,3.7,53.7,46.3
Lynn - Edward A Sisson, 01630095,6.6,10.5,40.5,36.4,0.9,0,5,53.5,46.5
Lynn - Fecteau-Leary Junior/Senior High School, 01630525,5.2,1.6,79.5,11.4,0.3,0,1.9,62,38
Lynn - Hood, 01630055,8.8,7.8,63.6,17.3,0,0,2.5,50.1,49.9
Lynn - Ingalls, 01630060,10.6,10.3,67,8.5,0.1,0.1,3.3,49.9,50.1
Lynn - Julia F Callahan, 01630030,16.9,8.4,46,21.7,0,0,7,54.4,45.6
Lynn - Lincoln-Thomson, 01630070,6.5,10.1,55.2,20.6,0,0,7.7,50,50
Lynn - Lynn English High, 01630510,9.7,8.1,60.3,18.8,0.1,0,2.9,52.4,47.6
Lynn - Lynn Vocational Technical Institute, 01630605,8.6,6,66.9,15.9,0.2,0,2.5,57.9,42.1
Lynn - Lynn Woods, 01630075,1.2,2.5,17.8,65.6,1.8,0,11,49.1,50.9
Lynn - Pickering Middle, 01630420,7,9.7,37.5,40,0.8,0,5,52.4,47.6
Lynn - Robert L Ford, 01630050,6.9,7.5,77.4,5.7,0.2,0,2.4,51.2,48.8
Lynn - Sewell-Anderson, 01630085,8.7,4.9,49,33.9,0,0,3.5,57.3,42.7
Lynn - Thurgood Marshall Mid, 01630305,9.5,8.6,66.9,11.4,0.5,0,3.1,52.3,47.7
Lynn - Tracy, 01630100,9.9,6.1,72.2,7.1,0,0,4.7,49.3,50.7
Lynn - Washington Elementary School, 01630005,12,6.2,74.4,3.8,0.2,0,3.4,49.8,50.2
Lynn - William R Fallon, 01630080,10.4,2.1,60.4,25,0,0,2.1,89.6,10.4
Lynn - Wm P Connery, 01630040,6,13.3,73.2,4.6,0,0,2.9,50.6,49.4
Lynnfield - Huckleberry Hill, 01640010,1.7,9.7,6.5,79.2,0,0,2.9,46,54
Lynnfield - Lynnfield High, 01640505,2.1,3,3.5,90.1,0,0,1.3,48.9,51.1
Lynnfield - Lynnfield Middle School, 01640405,1.3,3.7,4,88.5,0,0,2.4,51.1,48.9
Lynnfield - Lynnfield Preschool, 01640005,0,4.3,6.4,80.9,0,0,8.5,55.3,44.7
Lynnfield - Summer Street, 01640020,2.4,4.3,4.3,88.4,0,0,0.7,58.7,41.3
Ma Academy for Math and Science - Ma Academy for Math and Science School, 04680505,1,42.3,0,52.6,0,0,4.1,54.6,45.4
Malden - Beebe, 01650003,14.5,37.5,11.6,32,0.1,0.2,4.1,48.9,51.1
Malden - Ferryway, 01650013,20.8,19,29.4,25.9,0.3,0,4.6,49.1,50.9
Malden - Forestdale, 01650027,19.4,9.6,24.4,41.2,0,0.3,5,50.7,49.3
Malden - Linden, 01650047,20.7,21.9,17.2,36,0.3,0,3.9,53.2,46.8
Malden - Malden Early Learning Center, 01650049,14,37.5,7.4,35.8,0,0,5.4,55.5,44.5
Malden - Malden High, 01650505,21.2,23.4,22.9,28.6,0.4,0.1,3.4,50.6,49.4
Malden - Salemwood, 01650057,22.8,19.3,31,23.4,0.2,0,3.2,52,48
Manchester Essex Regional - Essex Elementary, 06980020,0,0.4,1.3,95.6,0,0,2.7,50.2,49.8
Manchester Essex Regional - Manchester Essex Regional High School, 06980510,0.2,0.7,0.7,97.9,0,0,0.5,43.9,56.1
Manchester Essex Regional - Manchester Essex Regional Middle School, 06980030,0,2.1,0.8,96.4,0,0,0.8,51.3,48.7
Manchester Essex Regional - Manchester Memorial Elementary, 06980010,0.3,0,1.1,98.1,0,0,0.6,51.8,48.2
Mansfield - Everett W Robinson, 01670007,3,7.7,5.4,79,0.1,0,4.8,53.2,46.8
Mansfield - Harold L Qualters Middle, 01670035,2.9,4.9,3.8,84.5,0,0,4,51.8,48.2
Mansfield - Jordan/Jackson Elementary, 01670014,3.4,5.9,5.4,83.2,0.1,0,2,53.2,46.8
Mansfield - Mansfield High, 01670505,2.5,3.6,3.3,87.9,0.3,0.2,2.2,49.4,50.6
Mansfield - Roland Green School, 01670003,4.7,9.3,5.8,75.6,0,0,4.7,54.7,45.3
Marblehead - Elbridge Gerry, 01680015,0.7,2,9.5,84.4,0,0.7,2.7,54.4,45.6
Marblehead - Glover, 01680020,1.2,1.5,5.9,88.6,0,0,2.9,56.6,43.4
Marblehead - L H Coffin, 01680010,1.2,3,9.6,80.8,0,0,5.4,50.9,49.1
Marblehead - Malcolm L Bell, 01680005,2.6,2.2,10.9,80.5,0,0,3.7,55.4,44.6
Marblehead - Marblehead High, 01680505,3.7,1.6,5.4,87.7,0.1,0,1.4,46.1,53.9
Marblehead - Marblehead Veterans Middle School, 01680300,2.6,1.2,5.6,87.9,0,0,2.8,47.5,52.5
Marblehead - Village School, 01680016,4,1.3,5.7,86.1,0.3,0,2.5,52.8,47.2
Marblehead Community Charter Public (District) - Marblehead Community Charter Public School, 04640305,2.6,2.6,2.2,90,0.9,0,1.7,57.4,42.6
Marion - Sippican, 01690005,2.4,1.7,2,87.6,0.2,0,6.1,51.5,48.5
Marlborough - 1 LT Charles W. Whitcomb School, 01700045,2.9,2.8,46.1,44.5,0,0,3.7,51.8,48.2
Marlborough - Charles Jaworek School, 01700030,2.3,7.4,42.1,45.9,0.5,0,1.8,51.6,48.4
Marlborough - Early Childhood Center, 01700006,6.1,15.9,18.9,54.3,0,0,4.9,57.9,42.1
Marlborough - Francis J Kane, 01700008,5,2.3,40.4,49.3,0,0,3.1,52.7,47.3
Marlborough - Marlborough High, 01700505,3.3,3.8,41.8,49.8,0.1,0,1.3,51.1,48.9
Marlborough - Richer, 01700025,4.2,2.5,54,35.2,0.2,0,4,49.6,50.4
Marshfield - Daniel Webster, 01710015,0.5,1.8,3.2,92.1,0.3,0.8,1.3,49.6,50.4
Marshfield - Eames Way School, 01710005,0,0,0.4,97.6,0,0,2,61.8,38.2
Marshfield - Furnace Brook Middle, 01710310,0.1,1,2.7,94.9,0.1,0.1,1.2,52.7,47.3
Marshfield - Gov Edward Winslow, 01710020,0.5,0.2,2.6,93.6,0,0,3.1,49.6,50.4
Marshfield - Marshfield High, 01710505,0.9,0.8,2.2,95.1,0.2,0.1,0.7,49.8,50.2
Marshfield - Martinson Elementary, 01710025,0.5,2.9,4.5,89.6,0.9,0,1.6,50.9,49.1
Marshfield - South River, 01710010,0.6,0.3,3,92.5,0,0,3.6,50.7,49.3
Martha's Vineyard - Martha's Vineyard Regional High, 07000505,3.3,1.2,10.3,78.7,1.8,0.2,4.5,52.2,47.8
Martha's Vineyard Charter (District) - Martha's Vineyard Charter School, 04660550,4.6,1.7,4.6,78,0,0,11,43.4,56.6
Martin Luther King Jr. Charter School of Excellence (District) - Martin Luther King Jr. Charter School of Excellence, 04920005,41.8,1.9,48.9,1.9,0,0,5.5,51.1,48.9
Masconomet - Masconomet Regional High School, 07050505,0.3,3.1,2.4,92.7,0.3,0,1.2,49.8,50.2
Masconomet - Masconomet Regional Middle School, 07050405,0.5,3.7,1.8,91.2,0.2,0.2,2.5,47.1,52.9
Mashpee - Kenneth Coombs School, 01720005,4.1,2.2,7.3,70.4,8,0.3,7.6,51.6,48.4
Mashpee - Mashpee High, 01720505,3.6,1.7,3.4,80.5,5.1,0,5.8,54.5,45.5
Mashpee - Mashpee Middle School, 01720020,4,2.2,3.6,81.2,5.8,0.4,2.9,50.2,49.8
Mashpee - Quashnet School, 01720035,3.2,2.4,2.2,79.4,7.1,0,5.7,49.4,50.6
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District - Massachusetts Virtual Academy at Greenfield Commonwealth Virtual School, 39010900,11.1,2.2,16.8,64.3,0.3,0.3,4.9,44.8,55.2
MATCH Charter Public School (District) - MATCH Charter Public School, 04690505,45.9,1.3,46.7,3.5,0.5,0.1,1.9,47.7,52.3
Mattapoisett - Center, 01730005,0.9,1.7,3,91.1,0,0,3.4,51.9,48.1
Mattapoisett - Old Hammondtown, 01730010,1.9,1.9,3.3,89.2,0,0,3.8,55.7,44.3
Maynard - Fowler School, 01740305,2.5,1.8,12,80.7,0.2,0,2.8,52.2,47.8
Maynard - Green Meadow, 01740010,1.6,1.2,12.7,78.3,0,0,6.2,52.2,47.8
Maynard - Maynard High, 01740505,4.8,3.8,11.2,76.9,0.2,0,3.2,49.2,50.8
Medfield - Dale Street, 01750005,0.8,3.5,4.6,86.4,0.5,0,4.1,52,48
Medfield - Medfield Senior High, 01750505,1.1,5.5,2.1,88.8,0,0.2,2.3,50.2,49.8
Medfield - Memorial School, 01750003,1.9,3.6,4.1,87.4,0.2,0,2.9,52,48
Medfield - Ralph Wheelock School, 01750007,0.9,2.6,8,85.3,0.9,0,2.3,54.9,45.1
Medfield - Thomas Blake Middle, 01750305,0.6,4.3,1.9,89.8,0.2,0,3.2,50,50
Medford - Brooks School, 01760130,8.7,4.4,4,76.9,0,0,6,52.5,47.5
Medford - Christopher Columbus, 01760140,20.4,5.4,12.9,56.6,0,0,4.7,52.3,47.7
Medford - Curtis-Tufts, 01760510,22.7,4.5,22.7,45.5,0,0,4.5,72.7,27.3
Medford - John J McGlynn Elementary School, 01760068,13.8,13.8,11,53.5,1.1,0,6.8,48.5,51.5
Medford - John J. McGlynn Middle School, 01760320,15.3,12.6,14.3,54.6,0.4,0,2.7,52.7,47.3
Medford - Madeleine Dugger Andrews, 01760315,8.9,5.1,6.9,74.3,0,0.2,4.5,52.4,47.6
Medford - Medford High, 01760505,17.1,10.2,8.9,60.3,0.2,0,3.3,48,52
Medford - Medford Vocational Technical High, 01760605,14.8,1.6,8.9,72.4,0,0,2.3,65,35
Medford - Milton Fuller Roberts, 01760150,8.5,13,10.3,62.6,0.5,0,5.1,50.9,49.1
Medway - Burke/Memorial Elementary School, 01770015,1.4,2.4,3.6,88.8,0,0,3.8,46.9,53.1
Medway - John D Mc Govern Elementary, 01770013,1.2,2.9,2.6,91.5,0,0,1.7,50.7,49.3
Medway - Medway High, 01770505,1.3,1.8,3,91.6,0.4,0.1,1.7,50.9,49.1
Medway - Medway Middle, 01770305,1.8,3.9,3.2,89,0.4,0,1.5,49.7,50.3
Melrose - Early Childhood Center, 01780003,2.1,3.8,1.4,84.1,0,0,8.6,52.8,47.2
Melrose - Herbert Clark Hoover, 01780017,2.4,4.8,5.6,81.7,0,0,5.6,51.4,48.6
Melrose - Horace Mann, 01780025,3.4,1.9,2.3,89.1,0,0,3.4,44.9,55.1
Melrose - Lincoln, 01780020,8.1,9.1,10,67,0,0,5.8,49.8,50.2
Melrose - Melrose High, 01780505,7.8,4,4.6,80.5,0,0,3.1,47,53
Melrose - Melrose Middle, 01780305,6.1,4.4,2.3,82.9,0,0,4.3,50.4,49.6
Melrose - Roosevelt, 01780035,6.1,5.1,6.1,77.9,0,0,4.9,51.7,48.3
Melrose - Winthrop, 01780050,5.6,2.7,2.1,85.8,0,0,3.8,52,48
Mendon-Upton - Henry P Clough, 07100179,0,0.2,4.7,93.5,0,0,1.6,51.6,48.4
Mendon-Upton - Memorial School, 07100001,0.5,5.5,3.9,87,0,0,3.2,55.1,44.9
Mendon-Upton - Miscoe Hill School, 07100015,0.6,2.3,4.7,89.4,0,0,2.9,48.7,51.3
Mendon-Upton - Nipmuc Regional High, 07100510,1,2,2.9,91.9,0,0,2.2,46,54
Methuen - Comprehensive Grammar School, 01810050,1,6,33.6,55.2,0,0.1,4,49.5,50.5
Methuen - Donald P Timony Grammar, 01810060,0.7,3.9,46,43.6,0.1,0.1,5.6,52.1,47.9
Methuen - Marsh Grammar School, 01810030,0.5,2.7,25.9,66.3,0,0,4.5,52.7,47.3
Methuen - Methuen High, 01810505,0.2,4,33.7,56.6,0.2,0.1,5.1,52,48
Methuen - Tenney Grammar School, 01810055,0.1,3.1,47.8,43.2,0,0,5.9,54,46
Middleborough - Henry B. Burkland Elementary School, 01820008,1.7,1,4.2,85.5,0.5,0.2,6.9,53.6,46.4
Middleborough - John T. Nichols Middle, 01820305,1.8,1.3,4.1,89.1,0.9,0,2.7,49,51
Middleborough - Mary K. Goode Elementary School, 01820010,2.9,0.7,2,90.1,0.9,0,3.4,51,49
Middleborough - Memorial Early Childhood Center, 01820011,2.3,0.8,1.5,93.8,0,0,1.5,49.2,50.8
Middleborough - Middleborough High, 01820505,2.2,0.7,3.2,90.3,0.6,0,3,51.6,48.4
Middleton - Fuller Meadow, 01840003,0.5,4.5,2.7,88.2,0.5,0,3.6,48,52
Middleton - Howe-Manning, 01840005,0.8,4.8,4.6,85.6,0,0,4.2,53.8,46.2
Milford - Brookside, 01850065,3.6,1.4,28.7,61.9,0.6,0.2,3.6,50.9,49.1
Milford - Memorial, 01850010,2.1,2.8,28.5,59.7,1.5,0.2,5.2,55.2,44.8
Milford - Milford High, 01850505,3,2.5,22,69.6,1.4,0.1,1.4,49.8,50.2
Milford - Shining Star Early Childhood Center, 01850075,0,2.2,17.6,78.7,0,0,1.5,64,36
Milford - Stacy Middle, 01850305,2.8,2.4,24.6,65.8,1.1,0,3.3,52.4,47.6
Milford - Woodland, 01850090,2.5,2.1,27.4,61.2,3,0,3.8,52.7,47.3
Millbury - Elmwood Street, 01860017,2,2.8,6.6,82.2,0,0,6.4,54.5,45.5
Millbury - Millbury Junior/Senior High, 01860505,2.5,1.9,7.4,84.9,0.3,0.1,2.9,49.2,50.8
Millbury - Raymond E. Shaw Elementary, 01860025,1.6,3,8.2,81.9,0,0,5.3,49.4,50.6
Millis - Clyde F Brown, 01870005,0.6,0.6,5,88.7,0.4,0,4.8,49,51
Millis - Millis High School, 01870505,2.6,1.8,3.6,89.5,1,0.3,1.3,49.5,50.5
Millis - Millis Middle, 01870020,1.9,3.3,6.5,85.1,0,0.2,3,57.1,42.9
Milton - Charles S Pierce Middle, 01890410,16,4.8,4.7,70.7,0.3,0.3,3.2,50.5,49.5
Milton - Collicot, 01890005,3.3,7.4,3,83.3,0,0.1,3,54.3,45.7
Milton - Cunningham School, 01890007,7.9,8.3,3.8,75.8,0.2,0,4,52.1,47.9
Milton - Glover, 01890010,8,4.4,3.7,79.3,0,0,4.6,52.3,47.7
Milton - Milton High, 01890505,21.1,7.1,5.1,62.1,0,0.4,4.2,49.1,50.9
Milton - Tucker, 01890020,40.7,6,7.6,38.2,0,0,7.6,49.4,50.6
Minuteman Regional Vocational Technical - Minuteman Regional High, 08300605,6.2,3.3,10.1,76.8,0.3,0,3.3,66.5,33.3
Mohawk Trail - Buckland-Shelburne Regional, 07170005,0.4,0,4.6,90.7,0.8,0,3.5,49.8,50.2
Mohawk Trail - Colrain Central, 07170010,1.8,0,2.7,94.6,0,0,0.9,42,58
Mohawk Trail - Heath Elementary, 07170015,0,0,0,100,0,0,0,44.8,55.2
Mohawk Trail - Mohawk Trail Regional High, 07170505,0.5,1.2,2.8,91.5,0.2,0,3.8,49.8,50.2
Mohawk Trail - Sanderson Academy, 07170020,0,0.7,2.8,93,0.7,0.7,2.1,56.6,43.4
Monomoy Regional School District - Chatham Elementary School, 07120001,5.1,0.4,6.2,83.9,0,0.7,3.7,48,52
Monomoy Regional School District - Harwich Elementary School, 07120002,4.4,0.5,7.1,81.8,0.7,0.2,5.3,51.4,48.6
Monomoy Regional School District - Monomoy Regional High School, 07120515,6.5,2.2,3.5,83,0.7,0,4.2,50.1,49.9
Monomoy Regional School District - Monomoy Regional Middle School, 07120315,4.5,0.9,8.5,80.3,0.7,0.5,4.7,47.9,52.1
Monson - Granite Valley Middle, 01910310,1,0.6,1.6,93.6,0.3,1.3,1.6,49.2,50.8
Monson - Monson High School, 01910505,0.7,0.7,1.7,94.1,0,0.3,2.4,49.8,50.2
