School Name,School Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,Student Included,Avg. Scaled Score,SGP,Included In SGP,Ach. PCTL
Barnstable - Barnstable United Elementary School,00200050,ELA,         359,44,          39,5,         320,39,         359,44,         104,13,         822,     496.2,          38.0,         768,36
Barnstable - Barnstable United Elementary School,00200050,MATH,         364,44,          37,5,         327,40,         363,44,          92,11,         819,     496.8,          43.0,         765,39
Barnstable - Centerville Elementary,00200010,ELA,          48,56,           9,10,          39,45,          30,35,           8,9,          86,     503.7,,,67
Barnstable - Centerville Elementary,00200010,MATH,          44,51,           8,9,          36,42,          30,35,          12,14,          86,     500.6,,,55
Barnstable - Hyannis West Elementary,00200025,ELA,          30,36,           6,7,          24,29,          41,49,          12,14,          83,     493.9,,,27
Barnstable - Hyannis West Elementary,00200025,MATH,          42,51,           9,11,          33,40,          33,40,           8,10,          83,     499.4,,,50
Barnstable - West Barnstable Elementary,00200005,ELA,          28,42,           4,6,          24,36,          32,48,           7,10,          67,     494.4,,,28
Barnstable - West Barnstable Elementary,00200005,MATH,          26,39,           0,0,          26,39,          29,43,          12,18,          67,     492.9,,,26
Barnstable - West Villages Elementary School,00200045,ELA,          62,60,          17,16,          45,43,          37,36,           5,5,         104,     508.0,,,83
Barnstable - West Villages Elementary School,00200045,MATH,          66,62,          11,10,          55,52,          28,26,          12,11,         106,     504.2,,,70
Barnstable Community Horace Mann Charter Public (District) - Barnstable Community Horace Mann Charter Public School,04270010,ELA,          35,58,           4,7,          31,52,          23,38,           2,3,          60,     503.5,,,70
Barnstable Community Horace Mann Charter Public (District) - Barnstable Community Horace Mann Charter Public School,04270010,MATH,          41,68,           5,8,          36,60,          16,27,           3,5,          60,     504.7,,,74
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,ELA,          75,31,           6,3,          69,29,         132,55,          32,13,         239,     491.5,          63.5,         226,20
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,MATH,          52,22,           3,1,          49,21,         156,66,          28,12,         236,     489.3,          49.0,         223,16
Bedford - John Glenn Middle,00230305,ELA,         355,65,          62,11,         293,54,         165,30,          24,4,         544,     506.1,          44.0,         528,76
Bedford - John Glenn Middle,00230305,MATH,         355,65,          96,18,         259,48,         163,30,          27,5,         545,     508.5,          54.0,         529,85
Bedford - Lt Job Lane School,00230012,ELA,         371,67,          92,17,         279,50,         165,30,          18,3,         554,     509.0,          52.0,         345,87
Bedford - Lt Job Lane School,00230012,MATH,         393,71,          91,16,         302,55,         140,25,          20,4,         553,     510.2,          54.0,         344,88
Belchertown - Chestnut Hill Community School,00240006,ELA,         262,46,          16,3,         246,44,         261,46,          41,7,         564,     497.2,          41.5,         544,39
Belchertown - Chestnut Hill Community School,00240006,MATH,         239,42,          12,2,         227,40,         267,47,          58,10,         564,     495.9,          50.0,         540,36
Belchertown - Jabish Middle School,00240025,ELA,         189,49,          32,8,         157,41,         165,43,          31,8,         385,     499.8,          44.0,         374,50
Belchertown - Jabish Middle School,00240025,MATH,         170,44,          21,5,         149,39,         187,49,          28,7,         385,     498.0,          41.0,         373,45
Belchertown - Swift River Elementary,00240018,ELA,          76,43,          15,9,          61,35,          81,46,          18,10,         175,     498.9,,,46
Belchertown - Swift River Elementary,00240018,MATH,          59,34,           3,2,          56,32,          83,47,          34,19,         176,     491.0,,,21
Bellingham - Bellingham High School,00250505,ELA,          83,46,           9,5,          74,41,          85,47,          13,7,         181,     498.3,          72.0,         173,43
Bellingham - Bellingham High School,00250505,MATH,         102,57,          15,8,          87,48,          66,37,          12,7,         180,     502.4,          73.5,         172,64
Bellingham - Bellingham Memorial School,00250315,ELA,         291,42,          25,4,         266,38,         354,51,          52,7,         697,     496.9,          47.0,         678,38
Bellingham - Bellingham Memorial School,00250315,MATH,         322,46,          29,4,         293,42,         319,46,          55,8,         696,     497.6,          56.0,         676,42
Bellingham - South Elementary,00250020,ELA,          46,52,           8,9,          38,43,          39,44,           3,3,          88,     499.9,,,51
Bellingham - South Elementary,00250020,MATH,          46,52,          11,13,          35,40,          34,39,           8,9,          88,     502.8,,,65
Bellingham - Stall Brook,00250025,ELA,          59,68,          13,15,          46,53,          25,29,           3,3,          87,     507.9,,,83
Bellingham - Stall Brook,00250025,MATH,          49,56,           7,8,          42,48,          33,38,           5,6,          87,     503.1,,,67
Belmont - Daniel Butler,00260015,ELA,          89,67,          25,19,          64,48,          41,31,           3,2,         133,     510.3,          67.0,          62,90
Belmont - Daniel Butler,00260015,MATH,          97,73,          20,15,          77,58,          35,26,           1,1,         133,     511.8,          70.0,          61,92
Belmont - Mary Lee Burbank,00260010,ELA,         110,76,          27,19,          83,57,          35,24,           0,0,         145,     513.0,          71.5,          70,95
Belmont - Mary Lee Burbank,00260010,MATH,         121,83,          40,28,          81,56,          22,15,           2,1,         145,     518.9,          66.5,          70,99
Belmont - Roger E Wellington,00260035,ELA,         168,73,          52,23,         116,51,          57,25,           4,2,         229,     513.2,          56.0,         106,95
Belmont - Roger E Wellington,00260035,MATH,         168,73,          48,21,         120,52,          52,23,           9,4,         229,     512.4,          42.0,         105,93
Belmont - Winn Brook,00260005,ELA,         142,77,          38,21,         104,57,          40,22,           2,1,         184,     514.1,          63.0,          84,96
Belmont - Winn Brook,00260005,MATH,         154,84,          50,27,         104,57,          27,15,           3,2,         184,     518.6,          55.0,          84,99
Belmont - Winthrop L Chenery Middle,00260305,ELA,"       1,028",78,         237,18,         791,60,         267,20,          26,2,"       1,321",     512.8,          50.0,"       1,255",95
Belmont - Winthrop L Chenery Middle,00260305,MATH,"       1,053",80,         372,28,         681,52,         248,19,          18,1,"       1,319",     517.3,          55.0,"       1,248",98
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,ELA,         133,73,          28,15,         105,58,          37,20,          12,7,         182,     509.0,          71.0,         131,86
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,MATH,         118,65,          24,13,          94,52,          52,29,          12,7,         182,     506.4,          59.0,         131,77
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,ELA,         233,79,          49,17,         184,62,          53,18,           9,3,         295,     512.3,          47.0,         234,95
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,MATH,         223,76,          57,19,         166,57,          62,21,           8,3,         293,     512.9,          49.0,         233,94
