school_id,year,african_american,asian,hispanic,white,native,male,female
490030,2001,44.6,22.5,8.5,24.4,0.0,45.8,54.2
490035,2001,28.2,14.7,5.6,50.9,0.6,47.1,52.9
490005,2001,31.2,15.0,8.4,44.9,0.5,51.2,48.8
490045,2001,30.8,24.6,7.8,36.5,0.3,55.7,44.3
490050,2001,22.8,23.3,5.3,47.5,1.3,50.8,49.3
500505,2001,3.3,2.7,1.0,68.6,24.4,47.6,52.4
500020,2001,3.8,4.7,2.2,88.9,0.5,50.5,49.5
500017,2001,3.3,3.9,2.4,90.4,0.0,53.0,47.0
500012,2001,5.4,5.9,3.3,85.3,0.0,54.1,45.9
500305,2001,4.1,3.1,2.4,90.2,0.1,45.1,54.9
4320530,2001,1.1,0.6,1.7,95.4,1.1,52.0,48.0
8150605,2001,6.7,0.5,4.2,87.1,1.6,64.3,35.7
510025,2001,0.0,6.4,0.6,92.4,0.6,48.2,51.8
6350005,2001,3.4,4.3,0.0,92.2,0.0,50.9,49.1
6350025,2001,0.9,1.3,0.2,97.6,0.0,57.0,43.0
6350035,2001,0.0,0.0,0.0,99.6,0.4,55.8,44.2
6350305,2001,0.6,1.0,1.0,97.3,0.2,53.0,47.0
6350505,2001,0.8,0.7,0.4,98.0,0.1,49.8,50.2
560030,2001,0.4,4.3,0.8,94.2,0.4,54.3,45.7
560005,2001,1.9,5.9,0.5,91.7,0.0,52.7,47.3
560025,2001,1.3,5.1,0.2,93.0,0.4,50.3,49.7
560505,2001,0.9,7.7,0.8,90.3,0.2,51.0,49.0
560305,2001,1.6,6.4,0.6,91.4,0.0,50.2,49.8
560310,2001,1.0,6.9,1.0,91.1,0.0,50.8,49.2
560015,2001,0.5,5.2,1.4,92.9,0.0,52.5,47.5
570505,2001,8.4,9.5,64.0,18.0,0.2,49.3,50.7
570050,2001,8.3,4.8,69.6,17.1,0.3,51.4,48.6
570030,2001,7.1,2.3,77.8,12.6,0.2,54.1,45.9
570040,2001,5.9,6.2,69.4,18.5,0.0,55.0,45.0
570035,2001,3.7,2.0,75.2,18.9,0.2,48.2,51.8
570003,2001,6.8,4.2,73.6,15.1,0.4,51.5,48.5
570025,2001,5.7,12.0,66.7,15.7,0.0,51.2,48.8
6320025,2001,0.0,0.6,3.0,96.4,0.0,53.9,46.1
610003,2001,2.0,2.0,6.1,88.6,1.3,46.1,53.9
610010,2001,3.5,0.0,14.6,81.5,0.3,46.8,53.2
610305,2001,3.3,0.0,21.4,75.2,0.1,52.0,48.0
610015,2001,4.6,0.5,36.6,58.3,0.0,51.9,48.1
610020,2001,3.6,0.2,2.9,93.3,0.0,49.6,50.4
610021,2001,2.0,0.0,10.2,87.8,0.0,66.3,33.7
610510,2001,1.8,0.0,7.5,90.3,0.3,53.8,46.2
610505,2001,1.5,0.8,11.4,86.4,0.0,50.0,50.0
610310,2001,1.3,0.0,6.1,92.6,0.0,53.0,47.0
610090,2001,5.0,0.2,56.2,38.6,0.0,50.1,49.9
610040,2001,2.0,2.0,7.6,87.7,0.7,49.2,50.8
610022,2001,2.4,1.9,11.2,84.6,0.0,50.0,50.0
610050,2001,2.7,0.9,15.1,81.3,0.0,57.3,42.7
610065,2001,3.3,1.5,9.5,85.8,0.0,53.8,46.2
610001,2001,0.4,0.9,1.7,97.0,0.0,55.4,44.6
4370505,2001,76.1,2.7,10.8,9.5,0.9,45.0,55.0
630010,2001,0.0,0.0,0.0,100.0,0.0,53.6,46.4
640050,2001,1.9,0.7,19.2,78.1,0.0,51.8,48.2
640305,2001,3.1,0.5,20.5,75.8,0.0,51.6,48.4
640505,2001,1.5,0.8,18.9,78.8,0.0,48.5,51.5
4380505,2001,78.8,3.0,15.2,3.0,0.0,39.4,60.6
650505,2001,2.5,0.7,1.8,94.2,0.7,49.5,50.5
650005,2001,3.2,0.2,1.3,95.3,0.0,53.7,46.3
650010,2001,3.2,0.0,0.4,96.3,0.0,52.2,47.8
4400205,2001,4.1,0.4,78.6,17.0,0.0,50.9,49.1
670005,2001,6.9,6.0,1.7,83.8,1.5,48.5,51.5
670305,2001,5.3,5.3,1.7,87.6,0.2,43.7,56.3
670020,2001,3.9,7.1,2.8,85.5,0.7,48.2,51.8
